attack_MNIST_p0.1
    last 2 stats in final epoch
    i=220: accuracy 97.88, attack success rate 98.97
    i=230: accuracy 97.84, attack success rate 99.87

attack_MNIST_p0.3
    last 2 stats in final epoch
    i=220: accuracy 97.63, attack success rate 99.14
    i=230: accuracy 97.52, attack success rate 100.0

attack_MNIST_p0.5
    last 2 stats in final epoch
    i=220: accuracy 97.34, attack success rate 99.95
    i=230: accuracy 96.99, attack success rate 100.0

defense_MNIST_p0.1_qt0.0
    last 2 epochs
    i=0: accuracy 97.17, attack success rate 11.76, avg_weight_poisoned 1.042458415031433
    i=160: accuracy 94.26, attack success rate 11.65, avg_weight_poisoned 1.0900278091430664
    i=170: accuracy 93.84, attack success rate 12.79, avg_weight_poisoned 0.968361496925354
    i=180: accuracy 93.88, attack success rate 12.97, avg_weight_poisoned 1.1617114543914795
    i=190: accuracy 94.29, attack success rate 12.84, avg_weight_poisoned 0.9445622563362122
    i=200: accuracy 94.23, attack success rate 12.61, avg_weight_poisoned 1.116458535194397
    i=210: accuracy 94.27, attack success rate 12.35, avg_weight_poisoned 0.9272555112838745
    i=220: accuracy 93.98, attack success rate 11.96, avg_weight_poisoned 0.9433309435844421
    i=230: accuracy 95.05, attack success rate 12.55, avg_weight_poisoned 1.0537855625152588
    i=0: accuracy 94.99, attack success rate 11.8, avg_weight_poisoned 0.9137293696403503
    i=10: accuracy 94.99, attack success rate 11.91, avg_weight_poisoned 0.932625949382782
    i=20: accuracy 94.71, attack success rate 12.73, avg_weight_poisoned 0.8942192792892456
    i=30: accuracy 94.67, attack success rate 11.95, avg_weight_poisoned 0.9925214052200317
    i=40: accuracy 95.15, attack success rate 11.61, avg_weight_poisoned 1.142907738685608
    i=50: accuracy 95.17, attack success rate 12.03, avg_weight_poisoned 1.0938475131988525
    i=60: accuracy 95.85, attack success rate 12.08, avg_weight_poisoned 1.0132992267608643
    i=70: accuracy 96.04, attack success rate 11.94, avg_weight_poisoned 0.9828580617904663
    i=80: accuracy 95.65, attack success rate 11.89, avg_weight_poisoned 0.9989506602287292
    i=90: accuracy 95.34, attack success rate 11.37, avg_weight_poisoned 1.1550852060317993
    i=100: accuracy 95.77, attack success rate 12.0, avg_weight_poisoned 0.8718085289001465
    i=110: accuracy 95.78, attack success rate 12.11, avg_weight_poisoned 1.0282833576202393
    i=120: accuracy 95.07, attack success rate 12.96, avg_weight_poisoned 0.9586852788925171
    i=130: accuracy 95.74, attack success rate 12.57, avg_weight_poisoned 1.0894289016723633
    i=140: accuracy 95.65, attack success rate 12.52, avg_weight_poisoned 0.9894610643386841
    i=150: accuracy 95.83, attack success rate 11.96, avg_weight_poisoned 0.9921159744262695
    i=160: accuracy 95.47, attack success rate 12.87, avg_weight_poisoned 1.0073755979537964
    i=170: accuracy 95.17, attack success rate 13.61, avg_weight_poisoned 1.018078088760376
    i=180: accuracy 95.72, attack success rate 12.96, avg_weight_poisoned 1.092125654220581
    i=190: accuracy 95.81, attack success rate 13.3, avg_weight_poisoned 0.9824460744857788
    i=200: accuracy 95.75, attack success rate 12.34, avg_weight_poisoned 0.980605959892273
    i=210: accuracy 96.39, attack success rate 11.74, avg_weight_poisoned 1.018221139907837
    i=220: accuracy 96.23, attack success rate 11.88, avg_weight_poisoned 1.016653299331665
    i=230: accuracy 95.67, attack success rate 12.98, avg_weight_poisoned 0.9993699193000793
    i=0: accuracy 95.62, attack success rate 12.53, avg_weight_poisoned 1.1109076738357544
    i=10: accuracy 95.94, attack success rate 12.79, avg_weight_poisoned 0.9415823817253113
    i=20: accuracy 94.91, attack success rate 15.41, avg_weight_poisoned 1.081099510192871
    i=30: accuracy 95.9, attack success rate 13.3, avg_weight_poisoned 0.9922932386398315
    i=40: accuracy 96.31, attack success rate 11.99, avg_weight_poisoned 0.9904404878616333
    i=50: accuracy 96.39, attack success rate 12.53, avg_weight_poisoned 1.004196286201477
    i=60: accuracy 96.04, attack success rate 13.51, avg_weight_poisoned 1.0263910293579102
    i=70: accuracy 96.36, attack success rate 11.93, avg_weight_poisoned 1.0709940195083618
    i=80: accuracy 96.44, attack success rate 13.64, avg_weight_poisoned 1.0130581855773926
    i=90: accuracy 95.13, attack success rate 15.46, avg_weight_poisoned 1.0397984981536865
    i=100: accuracy 96.33, attack success rate 12.66, avg_weight_poisoned 0.9539915323257446
    i=110: accuracy 96.4, attack success rate 14.21, avg_weight_poisoned 1.0729687213897705
    i=120: accuracy 96.1, attack success rate 14.84, avg_weight_poisoned 0.9334524869918823
    i=130: accuracy 96.6, attack success rate 15.42, avg_weight_poisoned 0.9871004819869995
    i=140: accuracy 96.6, attack success rate 14.89, avg_weight_poisoned 1.091444730758667
    i=150: accuracy 96.53, attack success rate 15.24, avg_weight_poisoned 1.0728914737701416
    i=160: accuracy 95.97, attack success rate 27.23, avg_weight_poisoned 0.960726261138916
    i=170: accuracy 95.64, attack success rate 39.68, avg_weight_poisoned 1.0226149559020996
    i=180: accuracy 96.57, attack success rate 21.53, avg_weight_poisoned 0.9210548400878906
    i=190: accuracy 96.66, attack success rate 23.79, avg_weight_poisoned 1.020789623260498
    i=200: accuracy 96.66, attack success rate 40.38, avg_weight_poisoned 1.0733697414398193
    i=210: accuracy 96.2, attack success rate 43.03, avg_weight_poisoned 0.9437626004219055
    i=220: accuracy 96.71, attack success rate 58.44, avg_weight_poisoned 1.0169392824172974
    i=230: accuracy 95.7, attack success rate 92.09, avg_weight_poisoned 0.934972882270813
    i=0: accuracy 96.25, attack success rate 87.79, avg_weight_poisoned 1.1046215295791626
    i=10: accuracy 96.29, attack success rate 49.15, avg_weight_poisoned 0.9650921821594238
    i=20: accuracy 96.23, attack success rate 92.78, avg_weight_poisoned 1.0325182676315308
    i=30: accuracy 96.66, attack success rate 90.33, avg_weight_poisoned 1.0496598482131958
    i=40: accuracy 96.09, attack success rate 96.66, avg_weight_poisoned 0.8746308088302612
    i=50: accuracy 96.48, attack success rate 92.78, avg_weight_poisoned 0.9579596519470215
    i=60: accuracy 96.93, attack success rate 93.4, avg_weight_poisoned 0.9382527470588684
    i=70: accuracy 96.72, attack success rate 97.43, avg_weight_poisoned 0.8990830183029175
    i=80: accuracy 96.69, attack success rate 97.09, avg_weight_poisoned 1.0720069408416748
    i=90: accuracy 96.33, attack success rate 97.67, avg_weight_poisoned 1.0531517267227173
    i=100: accuracy 96.49, attack success rate 99.46, avg_weight_poisoned 0.946795642375946
    i=110: accuracy 96.78, attack success rate 97.47, avg_weight_poisoned 1.0172345638275146
    i=120: accuracy 96.83, attack success rate 95.9, avg_weight_poisoned 0.9707873463630676
    i=130: accuracy 96.93, attack success rate 96.71, avg_weight_poisoned 0.9197176098823547
    i=140: accuracy 96.76, attack success rate 97.35, avg_weight_poisoned 0.9187818765640259
    i=150: accuracy 97.11, attack success rate 99.81, avg_weight_poisoned 0.9165239334106445
    i=160: accuracy 96.52, attack success rate 98.52, avg_weight_poisoned 1.0891196727752686
    i=170: accuracy 96.79, attack success rate 96.67, avg_weight_poisoned 1.1560699939727783
    i=180: accuracy 97.09, attack success rate 98.64, avg_weight_poisoned 1.0299052000045776
    i=190: accuracy 97.12, attack success rate 98.73, avg_weight_poisoned 0.9613001942634583
    i=200: accuracy 97.49, attack success rate 98.38, avg_weight_poisoned 0.9598253965377808
    i=210: accuracy 97.33, attack success rate 98.88, avg_weight_poisoned 0.861944317817688
    i=220: accuracy 97.17, attack success rate 99.78, avg_weight_poisoned 0.9247151613235474
    i=230: accuracy 97.07, attack success rate 99.81, avg_weight_poisoned 0.9618629217147827
    i=0: accuracy 97.29, attack success rate 99.6, avg_weight_poisoned 1.1040537357330322
    i=10: accuracy 97.56, attack success rate 99.49, avg_weight_poisoned 1.0098544359207153
    i=20: accuracy 96.91, attack success rate 98.84, avg_weight_poisoned 0.9608550071716309
    i=30: accuracy 97.0, attack success rate 99.24, avg_weight_poisoned 0.9942318201065063
    i=40: accuracy 97.49, attack success rate 99.66, avg_weight_poisoned 1.0256162881851196
    i=50: accuracy 97.37, attack success rate 98.48, avg_weight_poisoned 0.9787476658821106
    i=60: accuracy 97.52, attack success rate 99.35, avg_weight_poisoned 0.8818925619125366
    i=70: accuracy 97.42, attack success rate 97.4, avg_weight_poisoned 1.0539789199829102
    i=80: accuracy 97.09, attack success rate 99.48, avg_weight_poisoned 1.046126127243042
    i=90: accuracy 97.74, attack success rate 99.76, avg_weight_poisoned 1.007580041885376
    i=100: accuracy 97.55, attack success rate 99.63, avg_weight_poisoned 0.912913978099823
    i=110: accuracy 97.45, attack success rate 99.92, avg_weight_poisoned 0.859717845916748
    i=120: accuracy 97.44, attack success rate 96.86, avg_weight_poisoned 1.0712802410125732
    i=130: accuracy 97.55, attack success rate 97.31, avg_weight_poisoned 1.004289984703064
    i=140: accuracy 97.76, attack success rate 99.69, avg_weight_poisoned 0.9331961870193481
    i=150: accuracy 97.71, attack success rate 99.86, avg_weight_poisoned 0.9306824803352356
    i=160: accuracy 97.6, attack success rate 99.58, avg_weight_poisoned 0.8754938840866089
    i=170: accuracy 97.56, attack success rate 99.17, avg_weight_poisoned 0.9423853158950806
    i=180: accuracy 97.21, attack success rate 99.61, avg_weight_poisoned 0.9250190854072571
    i=190: accuracy 97.54, attack success rate 99.29, avg_weight_poisoned 1.0142302513122559
    i=200: accuracy 96.78, attack success rate 95.48, avg_weight_poisoned 1.0231362581253052
    i=210: accuracy 97.37, attack success rate 97.79, avg_weight_poisoned 0.9850580096244812
    i=220: accuracy 97.44, attack success rate 99.28, avg_weight_poisoned 0.9456378817558289
    i=230: accuracy 97.87, attack success rate 99.78, avg_weight_poisoned 1.022109866142273
    i=0: accuracy 97.31, attack success rate 97.98, avg_weight_poisoned 1.0113203525543213
    i=10: accuracy 97.06, attack success rate 95.14, avg_weight_poisoned 1.0479552745819092
    i=20: accuracy 97.35, attack success rate 98.66, avg_weight_poisoned 1.0382378101348877
    i=30: accuracy 97.79, attack success rate 99.4, avg_weight_poisoned 0.9494865536689758
    i=40: accuracy 97.65, attack success rate 99.67, avg_weight_poisoned 0.9727022051811218
    i=50: accuracy 97.67, attack success rate 99.45, avg_weight_poisoned 0.7558487057685852
    i=60: accuracy 97.39, attack success rate 98.95, avg_weight_poisoned 1.0228946208953857
    i=70: accuracy 97.71, attack success rate 99.22, avg_weight_poisoned 0.9357592463493347
    i=80: accuracy 97.94, attack success rate 99.77, avg_weight_poisoned 0.9532807469367981
    i=90: accuracy 97.69, attack success rate 99.8, avg_weight_poisoned 0.8659432530403137
    i=100: accuracy 97.85, attack success rate 99.94, avg_weight_poisoned 0.9609700441360474
    i=110: accuracy 97.63, attack success rate 97.22, avg_weight_poisoned 1.057624340057373
    i=120: accuracy 97.78, attack success rate 99.14, avg_weight_poisoned 0.8713553547859192
    i=130: accuracy 97.98, attack success rate 99.61, avg_weight_poisoned 0.889194130897522
    i=140: accuracy 97.48, attack success rate 99.88, avg_weight_poisoned 0.8313155174255371
    i=150: accuracy 97.76, attack success rate 99.64, avg_weight_poisoned 1.0815026760101318
    i=160: accuracy 97.55, attack success rate 99.75, avg_weight_poisoned 1.0741684436798096
    i=170: accuracy 97.09, attack success rate 96.61, avg_weight_poisoned 1.0889071226119995
    i=180: accuracy 97.72, attack success rate 98.34, avg_weight_poisoned 0.9393688440322876
    i=190: accuracy 98.09, attack success rate 99.86, avg_weight_poisoned 0.8608783483505249
    i=200: accuracy 97.73, attack success rate 99.75, avg_weight_poisoned 1.0645809173583984
    i=210: accuracy 97.9, attack success rate 99.77, avg_weight_poisoned 1.1858949661254883
    i=220: accuracy 97.6, attack success rate 98.73, avg_weight_poisoned 0.9824597239494324
    i=230: accuracy 98.09, attack success rate 99.76, avg_weight_poisoned 0.8425043225288391

defense_MNIST_p0.3_qt0.7
    all 7 epochs
    i=0: accuracy 10.38, attack success rate 0.0, avg_weight_poisoned 0.9782150387763977
    i=10: accuracy 11.41, attack success rate 0.0, avg_weight_poisoned 0.9195192456245422
    i=20: accuracy 11.57, attack success rate 0.0, avg_weight_poisoned 0.9664170145988464
    i=30: accuracy 16.41, attack success rate 0.0, avg_weight_poisoned 1.0390870571136475
    i=40: accuracy 19.74, attack success rate 0.0, avg_weight_poisoned 1.0241811275482178
    i=50: accuracy 32.29, attack success rate 0.0, avg_weight_poisoned 0.9496246576309204
    i=60: accuracy 50.25, attack success rate 0.0, avg_weight_poisoned 1.0571262836456299
    i=70: accuracy 55.85, attack success rate 0.0, avg_weight_poisoned 1.018432378768921
    i=80: accuracy 62.51, attack success rate 0.02, avg_weight_poisoned 0.8697841763496399
    i=90: accuracy 71.13, attack success rate 1.23, avg_weight_poisoned 1.088909387588501
    i=100: accuracy 75.87, attack success rate 6.92, avg_weight_poisoned 1.0216691493988037
    i=110: accuracy 80.21, attack success rate 12.2, avg_weight_poisoned 0.9900992512702942
    i=120: accuracy 81.5, attack success rate 9.61, avg_weight_poisoned 0.9696968197822571
    i=130: accuracy 84.71, attack success rate 13.7, avg_weight_poisoned 0.9476115107536316
    i=140: accuracy 84.94, attack success rate 14.14, avg_weight_poisoned 1.0807477235794067
    i=150: accuracy 86.89, attack success rate 11.04, avg_weight_poisoned 1.0527570247650146
    i=160: accuracy 87.89, attack success rate 13.36, avg_weight_poisoned 0.9712807536125183
    i=170: accuracy 87.95, attack success rate 13.55, avg_weight_poisoned 1.0437989234924316
    i=180: accuracy 88.88, attack success rate 12.67, avg_weight_poisoned 0.9757264256477356
    i=190: accuracy 90.13, attack success rate 12.39, avg_weight_poisoned 1.0375597476959229
    i=200: accuracy 90.41, attack success rate 12.2, avg_weight_poisoned 0.958209216594696
    i=210: accuracy 90.16, attack success rate 13.71, avg_weight_poisoned 0.9599690437316895
    i=220: accuracy 90.61, attack success rate 13.72, avg_weight_poisoned 0.9825881719589233
    i=230: accuracy 90.19, attack success rate 14.55, avg_weight_poisoned 1.116194725036621
    i=0: accuracy 90.29, attack success rate 10.21, avg_weight_poisoned 0.9041272401809692
    i=10: accuracy 90.93, attack success rate 12.56, avg_weight_poisoned 1.165510654449463
    i=20: accuracy 89.91, attack success rate 12.75, avg_weight_poisoned 1.056030511856079
    i=30: accuracy 90.09, attack success rate 12.82, avg_weight_poisoned 1.019001841545105
    i=40: accuracy 92.23, attack success rate 12.25, avg_weight_poisoned 0.9357013702392578
    i=50: accuracy 92.14, attack success rate 12.35, avg_weight_poisoned 1.019810438156128
    i=60: accuracy 92.15, attack success rate 13.06, avg_weight_poisoned 1.1039321422576904
    i=70: accuracy 92.49, attack success rate 12.7, avg_weight_poisoned 0.9487117528915405
    i=80: accuracy 92.02, attack success rate 13.12, avg_weight_poisoned 1.1565622091293335
    i=90: accuracy 92.26, attack success rate 12.96, avg_weight_poisoned 1.0349854230880737
    i=100: accuracy 93.29, attack success rate 12.32, avg_weight_poisoned 1.0054360628128052
    i=110: accuracy 93.57, attack success rate 11.98, avg_weight_poisoned 1.0849809646606445
    i=120: accuracy 93.53, attack success rate 12.59, avg_weight_poisoned 1.010317087173462
    i=130: accuracy 92.71, attack success rate 12.78, avg_weight_poisoned 0.916446328163147
    i=140: accuracy 93.38, attack success rate 12.22, avg_weight_poisoned 1.0118147134780884
    i=150: accuracy 94.1, attack success rate 12.14, avg_weight_poisoned 1.0421812534332275
    i=160: accuracy 94.18, attack success rate 11.74, avg_weight_poisoned 1.12068772315979
    i=170: accuracy 93.71, attack success rate 12.79, avg_weight_poisoned 0.973035454750061
    i=180: accuracy 93.69, attack success rate 12.96, avg_weight_poisoned 1.0792136192321777
    i=190: accuracy 94.43, attack success rate 12.62, avg_weight_poisoned 0.9519540071487427
    i=200: accuracy 94.38, attack success rate 12.38, avg_weight_poisoned 1.1231858730316162
    i=210: accuracy 94.39, attack success rate 12.16, avg_weight_poisoned 1.0087379217147827
    i=230: accuracy 95.04, attack success rate 12.42, avg_weight_poisoned 0.9814050793647766
    i=0: accuracy 95.14, attack success rate 11.8, avg_weight_poisoned 0.9520395398139954
    i=10: accuracy 95.05, attack success rate 11.84, avg_weight_poisoned 0.9325854182243347
    i=20: accuracy 94.77, attack success rate 12.54, avg_weight_poisoned 0.8560824394226074
    i=30: accuracy 94.56, attack success rate 11.77, avg_weight_poisoned 0.9415369033813477
    i=40: accuracy 95.07, attack success rate 11.56, avg_weight_poisoned 1.130147933959961
    i=50: accuracy 95.21, attack success rate 12.12, avg_weight_poisoned 1.0765548944473267
    i=60: accuracy 95.92, attack success rate 12.04, avg_weight_poisoned 0.9464725255966187
    i=70: accuracy 96.07, attack success rate 11.9, avg_weight_poisoned 0.9537553787231445
    i=80: accuracy 95.44, attack success rate 12.01, avg_weight_poisoned 1.0236202478408813
    i=90: accuracy 95.21, attack success rate 11.48, avg_weight_poisoned 1.1612956523895264
    i=100: accuracy 95.76, attack success rate 11.98, avg_weight_poisoned 0.9233332872390747
    i=110: accuracy 95.78, attack success rate 12.13, avg_weight_poisoned 0.9958972930908203
    i=120: accuracy 95.24, attack success rate 12.98, avg_weight_poisoned 0.9462181329727173
    i=130: accuracy 95.77, attack success rate 12.67, avg_weight_poisoned 1.0496395826339722
    i=140: accuracy 95.75, attack success rate 12.33, avg_weight_poisoned 0.975231945514679
    i=150: accuracy 95.99, attack success rate 11.97, avg_weight_poisoned 0.9551666378974915
    i=160: accuracy 95.45, attack success rate 12.95, avg_weight_poisoned 0.990744411945343
    i=170: accuracy 95.18, attack success rate 13.43, avg_weight_poisoned 1.0121331214904785
    i=180: accuracy 95.87, attack success rate 12.53, avg_weight_poisoned 1.0957496166229248
    i=190: accuracy 95.77, attack success rate 13.16, avg_weight_poisoned 0.9884029626846313
    i=200: accuracy 95.7, attack success rate 12.58, avg_weight_poisoned 0.9834302067756653
    i=210: accuracy 96.3, attack success rate 11.95, avg_weight_poisoned 1.001346230506897
    i=220: accuracy 96.14, attack success rate 11.95, avg_weight_poisoned 0.9775947332382202
    i=230: accuracy 95.87, attack success rate 12.54, avg_weight_poisoned 0.9783841371536255
    i=0: accuracy 95.54, attack success rate 12.69, avg_weight_poisoned 1.1362650394439697
    i=10: accuracy 95.92, attack success rate 12.41, avg_weight_poisoned 0.9296674728393555
    i=20: accuracy 95.27, attack success rate 14.64, avg_weight_poisoned 1.0254380702972412
    i=30: accuracy 95.61, attack success rate 13.66, avg_weight_poisoned 0.9862777590751648
    i=40: accuracy 96.25, attack success rate 12.25, avg_weight_poisoned 1.0404605865478516
    i=50: accuracy 96.4, attack success rate 12.03, avg_weight_poisoned 0.9517977833747864
    i=60: accuracy 96.07, attack success rate 13.06, avg_weight_poisoned 0.9906841516494751
    i=70: accuracy 96.58, attack success rate 12.07, avg_weight_poisoned 1.0434585809707642
    i=80: accuracy 96.4, attack success rate 13.16, avg_weight_poisoned 0.9923999905586243
    i=90: accuracy 95.12, attack success rate 14.8, avg_weight_poisoned 1.079464077949524
    i=100: accuracy 96.03, attack success rate 12.54, avg_weight_poisoned 0.9451115727424622
    i=110: accuracy 96.5, attack success rate 12.95, avg_weight_poisoned 1.0660412311553955
    i=120: accuracy 96.2, attack success rate 14.54, avg_weight_poisoned 0.9465193748474121
    i=130: accuracy 96.57, attack success rate 13.54, avg_weight_poisoned 0.9223125576972961
    i=140: accuracy 96.62, attack success rate 14.02, avg_weight_poisoned 1.092681646347046
    i=150: accuracy 96.55, attack success rate 14.29, avg_weight_poisoned 0.979573130607605
    i=160: accuracy 96.49, attack success rate 18.42, avg_weight_poisoned 0.9802311658859253
    i=170: accuracy 96.47, attack success rate 21.51, avg_weight_poisoned 0.9999144673347473
    i=180: accuracy 96.44, attack success rate 22.0, avg_weight_poisoned 0.9124146699905396
    i=190: accuracy 96.45, attack success rate 15.79, avg_weight_poisoned 0.9574339985847473
    i=200: accuracy 96.64, attack success rate 29.87, avg_weight_poisoned 1.0587780475616455
    i=210: accuracy 96.3, attack success rate 32.42, avg_weight_poisoned 1.0016748905181885
    i=220: accuracy 96.65, attack success rate 43.9, avg_weight_poisoned 1.1083015203475952
    i=230: accuracy 95.27, attack success rate 84.11, avg_weight_poisoned 0.9471604228019714
    i=0: accuracy 96.17, attack success rate 36.42, avg_weight_poisoned 1.0724945068359375
    i=10: accuracy 95.87, attack success rate 21.36, avg_weight_poisoned 1.0386366844177246
    i=20: accuracy 95.41, attack success rate 15.05, avg_weight_poisoned 1.0560855865478516
    i=30: accuracy 96.71, attack success rate 76.31, avg_weight_poisoned 1.0705459117889404
    i=40: accuracy 96.03, attack success rate 93.97, avg_weight_poisoned 0.8701898455619812
    i=50: accuracy 96.45, attack success rate 88.53, avg_weight_poisoned 1.0042344331741333
    i=60: accuracy 96.82, attack success rate 90.1, avg_weight_poisoned 0.9616365432739258
    i=70: accuracy 96.69, attack success rate 97.24, avg_weight_poisoned 0.8635695576667786
    i=80: accuracy 96.71, attack success rate 96.73, avg_weight_poisoned 1.0821038484573364
    i=90: accuracy 96.59, attack success rate 97.73, avg_weight_poisoned 1.0141394138336182
    i=100: accuracy 96.57, attack success rate 98.99, avg_weight_poisoned 0.9668563604354858
    i=110: accuracy 96.82, attack success rate 92.59, avg_weight_poisoned 1.0108665227890015
    i=120: accuracy 96.49, attack success rate 95.22, avg_weight_poisoned 0.9577544927597046
    i=130: accuracy 97.0, attack success rate 96.23, avg_weight_poisoned 0.9408799409866333
    i=140: accuracy 96.53, attack success rate 96.9, avg_weight_poisoned 0.9321953654289246
    i=150: accuracy 97.08, attack success rate 99.72, avg_weight_poisoned 0.9382475018501282
    i=160: accuracy 95.96, attack success rate 97.0, avg_weight_poisoned 1.0948392152786255
    i=170: accuracy 96.84, attack success rate 95.56, avg_weight_poisoned 1.1840369701385498
    i=180: accuracy 97.17, attack success rate 98.69, avg_weight_poisoned 0.9992586374282837
    i=190: accuracy 97.13, attack success rate 98.89, avg_weight_poisoned 0.9834408760070801
    i=200: accuracy 97.5, attack success rate 98.37, avg_weight_poisoned 0.9819634556770325
    i=210: accuracy 97.36, attack success rate 99.04, avg_weight_poisoned 0.8611119985580444
    i=220: accuracy 97.26, attack success rate 99.69, avg_weight_poisoned 0.920985221862793
    i=230: accuracy 97.12, attack success rate 99.82, avg_weight_poisoned 0.947319507598877
    i=0: accuracy 97.22, attack success rate 99.21, avg_weight_poisoned 1.1047327518463135
    i=10: accuracy 97.46, attack success rate 99.26, avg_weight_poisoned 0.9978836178779602
    i=20: accuracy 96.93, attack success rate 99.08, avg_weight_poisoned 0.9715055227279663
    i=30: accuracy 97.03, attack success rate 99.17, avg_weight_poisoned 0.9832500219345093
    i=40: accuracy 97.38, attack success rate 99.54, avg_weight_poisoned 1.0076961517333984
    i=50: accuracy 97.34, attack success rate 98.49, avg_weight_poisoned 0.9752243161201477
    i=60: accuracy 97.49, attack success rate 99.22, avg_weight_poisoned 0.9167200326919556
    i=70: accuracy 97.34, attack success rate 96.39, avg_weight_poisoned 1.0580432415008545
    i=80: accuracy 96.98, attack success rate 99.33, avg_weight_poisoned 1.0696203708648682
    i=90: accuracy 97.72, attack success rate 99.69, avg_weight_poisoned 1.0290794372558594
    i=100: accuracy 97.6, attack success rate 99.5, avg_weight_poisoned 0.9268978238105774
    i=110: accuracy 97.44, attack success rate 99.84, avg_weight_poisoned 0.9053676724433899
    i=120: accuracy 97.37, attack success rate 97.07, avg_weight_poisoned 1.0559477806091309
    i=130: accuracy 97.59, attack success rate 97.6, avg_weight_poisoned 0.9962913393974304
    i=140: accuracy 97.81, attack success rate 99.61, avg_weight_poisoned 0.9180561304092407
    i=150: accuracy 97.77, attack success rate 99.88, avg_weight_poisoned 0.9348796010017395
    i=160: accuracy 97.7, attack success rate 99.55, avg_weight_poisoned 0.8681759834289551
    i=170: accuracy 97.66, attack success rate 99.09, avg_weight_poisoned 0.9327183961868286
    i=180: accuracy 96.96, attack success rate 99.52, avg_weight_poisoned 0.954627513885498
    i=190: accuracy 97.54, attack success rate 99.19, avg_weight_poisoned 1.011734962463379
    i=200: accuracy 96.95, attack success rate 97.1, avg_weight_poisoned 1.059117078781128
    i=210: accuracy 97.29, attack success rate 98.41, avg_weight_poisoned 0.9506039619445801
    i=220: accuracy 97.37, attack success rate 99.26, avg_weight_poisoned 1.017465353012085
    i=230: accuracy 97.78, attack success rate 99.72, avg_weight_poisoned 0.9893549680709839
    i=0: accuracy 97.18, attack success rate 98.14, avg_weight_poisoned 0.9801074266433716
    i=10: accuracy 97.23, attack success rate 96.07, avg_weight_poisoned 1.0414087772369385
    i=20: accuracy 97.46, attack success rate 98.95, avg_weight_poisoned 1.0614818334579468
    i=30: accuracy 97.79, attack success rate 99.47, avg_weight_poisoned 0.9467975497245789
    i=40: accuracy 97.78, attack success rate 99.58, avg_weight_poisoned 0.9949170351028442
    i=50: accuracy 97.78, attack success rate 99.39, avg_weight_poisoned 0.7534732222557068
    i=60: accuracy 97.4, attack success rate 99.04, avg_weight_poisoned 1.0256390571594238
    i=70: accuracy 97.71, attack success rate 99.49, avg_weight_poisoned 0.9404765367507935
    i=80: accuracy 97.98, attack success rate 99.82, avg_weight_poisoned 0.9713543057441711
    i=90: accuracy 97.68, attack success rate 99.7, avg_weight_poisoned 0.8170310854911804
    i=100: accuracy 97.91, attack success rate 99.94, avg_weight_poisoned 0.9355632662773132
    i=110: accuracy 97.68, attack success rate 97.81, avg_weight_poisoned 1.0698745250701904
    i=120: accuracy 97.89, attack success rate 99.22, avg_weight_poisoned 0.8700194358825684
    i=130: accuracy 97.97, attack success rate 99.42, avg_weight_poisoned 0.8840583562850952
    i=140: accuracy 97.5, attack success rate 99.91, avg_weight_poisoned 0.8364580273628235
    i=150: accuracy 97.75, attack success rate 99.62, avg_weight_poisoned 1.0696558952331543
    i=160: accuracy 97.44, attack success rate 99.77, avg_weight_poisoned 1.0534361600875854
    i=170: accuracy 97.23, attack success rate 96.29, avg_weight_poisoned 1.0832406282424927
    i=180: accuracy 97.57, attack success rate 98.24, avg_weight_poisoned 0.9403122663497925
    i=190: accuracy 98.03, attack success rate 99.86, avg_weight_poisoned 0.8345746994018555
    i=200: accuracy 97.74, attack success rate 99.77, avg_weight_poisoned 1.0691837072372437
    i=210: accuracy 97.82, attack success rate 99.87, avg_weight_poisoned 1.1905930042266846
    i=220: accuracy 97.68, attack success rate 98.26, avg_weight_poisoned 0.9758862257003784
    i=230: accuracy 98.15, attack success rate 99.82, avg_weight_poisoned 0.8253207206726074

defense_MNIST_p0.3_qt0.85
    all 7 epochs
    i=0: accuracy 10.38, attack success rate 0.0, avg_weight_poisoned 0.9862474203109741
    i=10: accuracy 11.45, attack success rate 0.0, avg_weight_poisoned 0.8875099420547485
    i=20: accuracy 11.69, attack success rate 0.0, avg_weight_poisoned 0.9553858637809753
    i=30: accuracy 16.33, attack success rate 0.0, avg_weight_poisoned 0.9999457597732544
    i=40: accuracy 19.46, attack success rate 0.0, avg_weight_poisoned 1.0102946758270264
    i=50: accuracy 31.09, attack success rate 0.0, avg_weight_poisoned 1.0065995454788208
    i=60: accuracy 49.19, attack success rate 0.0, avg_weight_poisoned 1.0649049282073975
    i=70: accuracy 56.06, attack success rate 0.0, avg_weight_poisoned 0.9935876727104187
    i=80: accuracy 62.07, attack success rate 0.0, avg_weight_poisoned 0.9226497411727905
    i=90: accuracy 70.96, attack success rate 1.17, avg_weight_poisoned 0.9597150087356567
    i=100: accuracy 75.59, attack success rate 6.6, avg_weight_poisoned 1.058321475982666
    i=110: accuracy 80.87, attack success rate 12.28, avg_weight_poisoned 1.0382193326950073
    i=120: accuracy 80.17, attack success rate 7.24, avg_weight_poisoned 0.9178047180175781
    i=130: accuracy 83.89, attack success rate 13.05, avg_weight_poisoned 0.943698525428772
    i=140: accuracy 84.96, attack success rate 12.57, avg_weight_poisoned 1.0455515384674072
    i=150: accuracy 86.36, attack success rate 9.69, avg_weight_poisoned 1.0206294059753418
